,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_tce_plnt_num,koi_quarters,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky,ENC_LS,ENC_LS+MCMC,ENC_MCMC,ENC_none
6656,1.0,0.0,0.0,0.0,392.89275630000003,2455269.288,0.0,0.4783571364851784,4.93,75095.31095283183,0.21289021004126762,4.422919343627393,67.07589512108699,0.09550826687355651,77.2329274799392,1653.2941146614219,8310.105345533251,30.897993597872347,0.2622125321995276,0.3976597831780278,568.4770030892141,2783.8013988893204,554.5396669609797,453.0043387787877,1.0,9.968845357665117e+30,0.3784738832898218,5843.453605485814,4.030922526852209,-0.018054480529718205,2.0379608029125147,1.2253375254402312,300.72061,45.460869,13.802,14.485,13.767000000000001,13.508,13.37387965263711,12.394,12.083,12.008,0.0,20.047988,45.46087,-2.0,0.0,0.00118,-0.00032,-2.9,-0.68,2.98,-2.91,-0.65,2.98,0.0,0.0,0.0,1.0
6657,1.0,0.0,0.0,0.0,114.73428700000001,2455064.502,0.0,0.3694,3.7239999999999998,243.0,0.014195,15.793779999999998,1.1,0.4069,89.95,296.0,1.82,222.3,0.2029,0.4991,11.330088886141874,74.31054617105603,6.7,305.41099172923106,1.0,9.760526032368557e+30,0.5202021927452694,5083.0,4.569,-0.44,0.71,0.68,283.03592000000003,45.577709000000006,14.259,14.959000000000001,14.222999999999999,13.959000000000001,13.835,12.772,12.295,12.203,0.33299999999999996,18.869038,45.5777,-0.9,0.0,0.0003,-0.0001,-0.7,-0.11,0.71,-0.49,-0.1,0.5,0.0,0.0,1.0,0.0
6659,0.0,1.0,1.0,0.0,1.3406499109999999,2454965.055,0.0,0.561,5.0912,628000.0,0.9536180000000001,0.65561,127.25,0.0237,81.87,2004.0,3824.87,3.9641,0.3029,0.3026,783.9772,2691.6582,791.0,0.0,1.0,1.1e+16,-1.0,6332.0,4.26,-0.42,1.222,0.991,293.0744,46.899978999999995,14.558,14.927999999999999,14.517999999999999,14.399000000000001,14.333,13.382,13.017999999999999,12.994000000000002,0.24813825946447488,19.53829362,46.89988109,0.034,-0.3561,0.0005892273451640639,-0.000576965774981341,0.006,-0.003,0.006,0.18,-0.21,0.28,0.0,1.0,0.0,0.0
6660,0.0,0.0,1.0,1.0,30.69537638,2454988.719,0.0,0.846,5.6634,19900.0,0.14893399999999998,0.67019,19.39,0.2027,88.49,662.0,45.29,32.198,0.3024,0.3288,122.33882,245.38676,186.8,10.0,1.0,1.00011e+22,0.1718,6185.0,4.356,0.12,1.192,1.179,294.47601000000003,46.86166,15.495999999999999,15.997,15.452,15.282,15.210999999999999,14.399000000000001,14.078,13.946,0.0,19.63181995,46.8638917,3.2,8.033999999999999,-0.037,-0.094,-0.4599084409184482,0.204232954297187,2.1375403447151,-0.5118100962918509,0.17468276376269237,2.1520550714757936,0.0,1.0,0.0,0.0
6661,0.0,1.0,0.0,0.0,30.69533113,2454988.721,0.0,1.041,5.94855,88800.0,0.494216,1.5171700000000001,69.4,0.185,88.59,737.0,69.65,42.277,0.2998,0.3069,1992.3325,8449.908000000001,7846.3,44.0,1.0,1.11111e+31,0.0229,6335.0,4.171,-0.74,1.286,0.894,294.4783,46.863811,12.508,12.823,12.468,12.373,12.334000000000001,11.514000000000001,11.245999999999999,11.203,0.0,19.63188529,46.86375892,-0.052110000000000004,-0.1839,-0.0215,-0.0308,0.02,0.033,0.039,-0.049,-0.17300000000000001,0.179,0.0,1.0,0.0,0.0
6663,1.0,0.0,0.0,0.0,49.873958,2455000.555,0.0,0.4119,1.351,562.0,0.021809000000000002,139.42236,1.5,0.2261,89.95,366.0,4.26,264.0,0.2257,0.4723,5.063754756711277,20.469727478138335,5.7,114.00326545217673,1.0,6.501962159393664e+30,0.3049567611322412,4979.0,4.632,-0.76,0.629,0.618,297.828,46.884602,15.517999999999999,16.289,15.504000000000001,15.187000000000001,15.017999999999999,13.953,13.424000000000001,13.38,0.012,19.855132,46.8842,-2.5,-1.5,0.0018,0.0008,2.1,-0.45,2.1,2.1,-0.49,2.2,0.0,0.0,1.0,0.0
6666,1.0,0.0,0.0,0.0,114.2504149,2455068.852,0.0,0.5387669392490423,2.11,7671.176948680313,0.040626180184577206,62.34216696903721,5.122219698454384,0.44891810374059893,86.80236561048322,651.0227407508129,609.3617362062416,216.88681681922793,0.28450806120978844,0.35732038343604666,54.048856273094174,336.63119957852956,48.674710225833365,337.56914064758064,1.0,3.783712130183096e+30,0.2773093054079997,5978.665417351,4.394478913154033,-0.14417530560059275,1.2154310576700331,1.0667649171343068,289.44095,42.741638,15.872,16.457,15.821,15.620999999999999,15.52,14.504000000000001,14.075,13.989,0.006,19.29599,42.74109,-2.9,-2.0,0.0025,0.0015,0.8,-0.01,0.8,0.7,-0.1,0.8,0.0,0.0,0.0,1.0
6668,1.0,0.0,0.0,0.0,407.97623,2455211.7,0.0,0.0598,14.69,238.0,0.014297,1.1276899999999999,4.63,1.3498,89.95,498.0,14.53,214.9,0.307,0.2695,10.408144823003171,29.96901030284662,11.2,550.1536863176419,1.0,7.372104597214012e+30,0.6493888777586283,7612.0,3.787,-0.08,2.968,1.969,292.89294,42.776581,12.234000000000002,12.357999999999999,12.193,12.231,12.207,11.463,11.343,11.262,0.004,19.526183,42.77678,-0.51,0.71,0.00016999999999999999,-0.00022999999999999998,0.9,-0.49,1.03,0.92,-0.53,1.06,0.0,0.0,1.0,0.0
6672,1.0,0.0,0.0,0.0,239.2557898,2454966.137,0.0,0.0770276256002842,5.21,2382.993285898359,0.03001815914948844,4.524539624698493,3.048255738369784,0.13872754325102846,89.71219712715124,663.2694718360805,97.02410105204264,45.4272976998735,0.23038415878789073,0.4557683528007119,12.925743076628265,78.04688686360592,37.45037317562275,108.95005521432155,1.0,4.711119601166546e+29,0.5917904505734117,5379.123343423475,4.488537477395491,-0.017474595170608193,1.0253050435472257,0.9410923143776235,293.82782000000003,42.771709,13.815999999999999,14.145,13.764000000000001,13.675,13.614,12.765999999999998,12.499,12.432,0.297,19.588506,42.772090000000006,-0.6,1.4,0.0001,-0.00022999999999999998,-0.8,-0.53,1.0,-0.7,-0.53,0.9,0.0,0.0,0.0,1.0
6674,0.0,1.0,1.0,0.0,6.279888981,2454968.296,0.0,1.244,5.5086,1510.0,0.28962,0.01615,196.78,0.0831,67.35,1931.0,3281.24,3.2289999999999996,0.1727,0.5491,36.342937,141.27522,150.5,216.0,1.0,1.11111e+31,0.9833,5057.0,3.137,0.0,6.222,1.936,298.43073,44.192451,13.285,14.152000000000001,13.241,12.913,12.712,11.628,11.106,10.982000000000001,0.0,19.89492993,44.1940851,-17.476,5.886,0.023,-0.008,-6.075,2.068,6.417000000000001,-6.335,1.955,6.63,0.0,1.0,0.0,0.0
