,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_tce_plnt_num,koi_quarters,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky,ENC_LS,ENC_LS+MCMC,ENC_MCMC,ENC_none
4564,0.0,0.0,0.0,0.0,14.319641699999998,2454967.163,0.0,0.5329999999999999,3.781,216.0,0.013753,1.43424,2.06,0.1144,88.78,850.0,123.37,25.0,0.2286,0.4641,3.7445772000000006,10.821169,12.5,78.0,1.0,1.1111e+31,0.9033,5562.0,4.151,0.16,1.3730000000000002,0.973,293.73444,40.307201,15.075999999999999,15.62,15.025,14.842,14.742,13.876,13.499,13.453,0.5329999999999999,19.582275,40.30724,-0.8,0.1,0.00018999999999999998,-8e-05,-0.27,-0.31,0.41,-0.24,-0.3,0.39,0.0,1.0,0.0,0.0
4565,0.0,0.0,0.0,0.0,5.2736268,2454968.6459999997,0.0,0.595,5.291,86.1,0.008831,0.16585999999999998,0.89,0.0595,84.53,1014.0,249.68,6.25,0.2622,0.4035,2.775109,7.3551779999999995,8.7,254.0,1.0,1.11111e+31,0.2813,5851.0,4.515,-0.04,0.9179999999999999,1.0070000000000001,296.12253,41.561138,15.374,15.932,15.325,15.134,15.047,14.114,13.742,13.604000000000001,0.223,19.741559,41.56116,2.3,0.1,-0.00018,-1e-05,-0.19,0.42,0.47,-0.23,0.62,0.66,0.0,1.0,0.0,0.0
4566,0.0,0.0,0.0,0.0,24.5041103,2454973.18,0.0,0.17800000000000002,6.065,120.0,0.009779000000000001,0.91005,1.03,0.1568,89.67,574.0,25.59,30.68,0.18600000000000003,0.5256,3.4630682,9.293733,11.3,54.0,1.0,1.11111e+31,0.2119,5250.0,4.404,0.2,0.9620000000000001,0.8540000000000001,290.09427,41.742779,14.375,15.030999999999999,14.306,14.094000000000001,13.960999999999999,12.942,12.517999999999999,12.419,0.059000000000000004,19.339606,41.742290000000004,-0.5,-1.8,5.9999999999999995e-05,0.0002,0.87,0.57,1.04,0.86,0.56,1.03,0.0,1.0,0.0,0.0
4569,0.0,0.0,0.0,0.0,9.97202023,2454970.712,0.0,0.401,1.425,330.0,0.016575,23.70896,1.26,0.0797,89.54,627.0,36.53,50.0,0.1263,0.6019,4.0497146,8.071398,8.6,114.0,1.0,1.11111e+28,0.615,4810.0,4.584,-0.26,0.696,0.677,297.34842000000003,43.421219,15.693,16.577,15.671,15.314,15.149000000000001,14.0,13.437000000000001,13.334000000000001,0.5920000000000001,19.823187,43.42067,-1.6,-1.99,0.00018,0.00013000000000000002,0.55,0.06,0.55,-0.06,-1.27,1.27,0.0,1.0,0.0,0.0
4576,0.0,0.0,0.0,0.0,40.351170700000004,2454986.409,0.0,0.079,3.97,534.0,0.020966,5.7351,1.88,0.223,89.94,479.0,12.46,79.0,0.2711,0.3858,3.9102212999999995,10.252697999999999,11.3,31.0,1.0,1.11111e+31,0.2848,5665.0,4.5680000000000005,-0.2,0.82,0.9159999999999999,291.93756,39.419940999999994,15.675999999999998,16.212,15.625,15.447000000000001,15.37,14.456,14.067,13.954,0.7879999999999999,19.462521,39.42004,0.7,0.4,-0.00033,-0.00011999999999999999,0.68,-0.68,0.96,0.64,-0.69,0.94,0.0,1.0,0.0,0.0
4577,0.0,0.0,0.0,0.0,72.9332762,2455031.115,0.0,0.106,3.8289999999999997,770.0,0.024847,11.608369999999999,2.45,0.3271,89.96,389.0,5.44,148.3,0.1914,0.5167,3.9116776,9.709475,11.3,17.0,1.0,1.11111e+31,0.3859,5316.0,4.47,0.14,0.902,0.875,291.56476000000004,38.074589,15.679,16.307000000000002,15.622,15.41,15.296,14.259,13.875,13.777999999999999,0.001,19.437635999999998,38.07521,-0.6,2.2,0.0006,-0.002,0.08,0.58,0.58,0.15,0.84,0.85,0.0,1.0,0.0,0.0
4580,0.0,0.0,0.0,0.0,12.687817599999999,2454969.152,0.0,0.9209999999999999,4.262,293.0,0.018899000000000003,0.1161,2.16,0.1101,84.69,851.0,123.89,9.96,0.302,0.319,3.5021882000000004,11.035108000000001,13.5,88.0,1.0,1.11111e+28,0.5842,6258.0,4.442,-0.12,1.046,1.102,293.94241,42.4259,15.812999999999999,16.26,15.752,15.622,15.517000000000001,14.645,14.347000000000001,14.308,0.012,19.596166,42.42535,0.2,-2.0,-5.9999999999999995e-05,0.00061,-0.58,-0.13,0.6,-0.64,-0.21,0.67,0.0,1.0,0.0,0.0
4581,0.0,0.0,0.0,0.0,483.36405,2455316.078,0.0,0.614,15.61,285.0,0.01617,0.5682,1.27,1.1172,89.82,202.0,0.39,191.5,0.2865,0.3556,5.539553,7.1056905,8.3,3.0,1.0,1.11111e+31,0.9486,5700.0,4.626,-0.68,0.718,0.8059999999999999,291.37067,40.216060999999996,14.860999999999999,15.37,14.825999999999999,14.642999999999999,14.55,13.620999999999999,13.239,13.161,0.095,19.424672,40.215720000000005,-1.6,-1.2,0.0006,0.00044,-0.89,-1.44,1.69,-0.66,-1.28,1.44,0.0,1.0,0.0,0.0
4586,0.0,0.0,0.0,0.0,12.0729757,2454975.429,0.0,0.312,3.783,99.5,0.009058,1.6637099999999998,1.69,0.1046,89.24,969.0,208.13,23.4,0.2286,0.4641,3.6532876000000005,9.005999000000001,9.7,113.0,1.0,1.11111e+31,0.5549,5436.0,3.9930000000000003,0.2,1.7069999999999999,1.046,281.55267000000003,44.228531,14.216,14.699000000000002,14.213,14.008,13.991,13.056,12.673,12.62,0.828,18.770156,44.22867,-0.9,0.5,5.9999999999999995e-05,-2e-05,0.23,1.22,1.24,0.18,1.58,1.59,0.0,1.0,0.0,0.0
4589,0.0,0.0,0.0,0.0,82.401274,2454973.656,0.0,0.703,6.48,431.0,0.020272,1.03376,2.21,0.3806,89.44,421.0,7.42,71.9,0.2826,0.3729,3.8649826000000003,8.411982,10.1,9.0,1.0,1.11011e+28,0.8957,5886.0,4.4719999999999995,0.16,1.0,1.083,296.82895,48.173279,15.202,15.633,15.122,15.017000000000001,14.937999999999999,14.049000000000001,13.81,13.824000000000002,0.055,19.788563,48.1737,-1.2,1.51,-0.00091,-0.00018999999999999998,0.3,-2.0,2.0,-9.1,2.9,9.6,0.0,1.0,0.0,0.0
